delay_bucket,avg_review_score,customer_count
-146,5.00,1
-139,5.00,1
-134,3.00,1
-108,5.00,1
-83,5.00,1
-82,5.00,1
-77,5.00,2
-76,5.00,1
-75,5.00,1
-74,4.50,2
-72,5.00,2
-70,5.00,2
-68,3.67,3
-67,5.00,1
-66,5.00,1
-65,5.00,2
-64,5.00,1
-63,5.00,1
-62,5.00,1
-61,4.50,2
-60,4.00,1
-59,5.00,1
-58,5.00,1
-57,4.50,6
-56,4.50,2
-55,4.50,8
-54,4.50,4
-53,4.86,7
-52,4.40,10
-51,4.00,13
-50,4.00,8
-49,4.21,19
-48,4.29,17
-47,4.16,31
-46,3.92,25
-45,4.36,36
-44,4.14,29
-43,4.19,36
-42,4.44,50
-41,4.08,81
-40,4.11,70
-39,4.27,59
-38,4.41,54
-37,4.34,92
-36,3.90,87
-35,4.26,160
-34,4.26,241
-33,4.21,241
-32,4.33,247
-31,4.25,264
-30,4.25,293
-29,4.28,362
-28,4.26,468
-27,4.29,714
-26,4.20,768
-25,4.27,770
-24,4.26,879
-23,4.32,1023
-22,4.27,1220
-21,4.34,1775
-20,4.32,2695
-19,4.36,2851
-18,4.36,2623
-17,4.32,3044
-16,4.34,3348
-15,4.33,3818
-14,4.35,5195
-13,4.33,6863
-12,4.33,5747
-11,4.31,4469
-10,4.31,4537
-9,4.32,4506
-8,4.29,4483
-7,4.25,4662
-6,4.25,4682
-5,4.25,3499
-4,4.19,2161
-3,4.13,1874
-2,4.11,1674
-1,4.11,1492
0,4.09,2620
1,3.73,800
2,3.16,531
3,2.69,487
4,2.48,438
5,2.14,432
6,1.80,407
7,1.92,463
8,1.73,315
9,1.69,226
10,1.61,198
11,1.73,173
12,1.66,158
13,1.69,186
14,1.58,168
15,1.64,155
16,1.66,96
17,1.69,87
18,1.66,75
19,1.49,71
20,1.61,83
21,1.69,78
22,1.67,63
23,1.50,34
24,1.56,49
25,1.73,37
26,1.42,33
27,1.46,39
28,1.64,45
29,1.34,37
30,1.29,15
31,1.29,21
32,1.53,16
33,1.65,20
34,1.88,9
35,1.43,23
36,1.20,16
37,1.86,7
38,2.30,10
39,1.33,7
40,1.78,10
41,1.33,12
42,2.90,10
43,1.44,9
44,2.50,3
45,1.67,6
46,1.20,6
47,1.60,5
48,2.14,8
49,2.09,11
50,2.14,7
51,1.00,5
52,2.67,4
53,1.00,2
54,3.00,4
55,3.00,4
56,2.50,4
57,1.00,2
58,5.00,4
59,5.00,1
60,3.20,5
63,1.00,2
65,1.00,2
66,1.00,1
67,4.00,1
68,2.00,2
69,5.00,1
70,3.00,2
72,1.00,1
73,1.00,2
74,1.00,2
75,4.00,1
76,1.00,1
77,3.00,2
78,4.00,2
79,1.00,1
80,4.00,1
81,4.50,2
82,4.00,1
83,5.00,1
85,1.00,1
88,1.00,1
91,1.00,1
94,2.00,1
96,3.75,4
97,5.00,1
100,4.00,1
104,2.60,5
105,4.00,1
106,5.00,1
109,3.00,2
110,1.00,1
111,5.00,1
112,2.00,1
119,,1
121,4.00,1
123,1.00,1
126,4.00,1
132,3.00,2
134,4.50,2
137,3.00,1
138,4.00,1
143,1.00,1
144,5.00,1
152,1.00,1
153,4.00,2
155,4.50,2
159,3.00,1
161,4.00,2
162,3.00,1
165,1.00,1
166,1.00,1
167,1.00,1
175,1.00,1
181,,1
188,2.00,1
