customer_state,order_count,unique_buyers,total_revenue,revenue_pct
SP,40494,39149,5768518.23,37.41
RJ,12350,11917,2055401.57,13.33
MG,11354,11001,1818891.67,11.80
RS,5344,5167,861278.79,5.59
PR,4923,4769,781708.80,5.07
SC,3546,3449,595127.78,3.86
BA,3256,3158,591137.81,3.83
DF,2080,2019,346123.35,2.24
GO,1957,1895,334212.35,2.17
ES,1995,1928,317657.93,2.06
PE,1593,1551,308972.05,2.00
CE,1279,1258,266436.77,1.73
PA,946,922,212023.57,1.38
MT,886,856,181224.42,1.18
MA,717,700,147803.55,0.96
PB,517,504,137838.55,0.89
MS,701,681,134367.55,0.87
PI,476,464,105178.19,0.68
RN,474,464,100714.78,0.65
AL,397,387,94172.49,0.61
SE,335,329,70289.13,0.46
TO,274,267,60007.37,0.39
RO,243,231,56966.00,0.37
AM,145,140,27585.47,0.18
AC,80,76,19575.33,0.13
AP,67,66,16141.81,0.10
RR,41,40,9039.52,0.06
